# Radial profiles  |  saved: 2026-04-28 08:33:21
# n_profiles: 4  |  max_length: 94  |  mean_std_length: 40
# blank cells = profile did not extend to this radius
radius	profile_1	profile_2	profile_3	profile_4	mean	std
19.75	5.48436e-10	5.70415e-10				
20	5.48968e-10	5.70306e-10				
20.25	5.4758e-10	5.65339e-10				
20.5	5.46119e-10	5.71479e-10				
20.75	5.45904e-10	5.72954e-10				
21	5.5356e-10	5.72246e-10				
21.25	5.52475e-10	5.73074e-10				
21.5	5.47661e-10	5.69991e-10				
21.75	5.47783e-10	5.7198e-10				
22	5.45229e-10	5.74039e-10				
22.25	5.45539e-10	5.73591e-10				
22.5	5.4302e-10	5.73252e-10				
22.75		5.77077e-10				
23		5.79393e-10				
23.25		5.7881e-10				
